[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
[VOL_TARGET] vol=44.3% | target=12.0% | mult=0.5
